,MAV,RMS,VAR,WL,ZC,SSC,WAMP,SSI,SD,ASM,ASS,CARD,COV,DAMV,DASDV,DVARV,IQR,KURT,LTKEO,MAD,SKEW,PF,BW,SE,PermEn,SamPen,FuzzyEn,ApEn,AMAX,PMI,HFMI
60,0.001073693,0.001982735,3.96E-06,1.117951396,355.9,368.2,774.4,0.003643943,0.001982735,0.988871509,25.632272,921,1327.662627,0.001215165,0.002178091,4.77E-06,0.001349491,19.91968626,-6.566225877,0.001073695,0.001699089,158.984375,51.953125,9.28E-10,0.693045093,0.003037822,0.003340534,0.003365478,0.014947757,0.112529918,0.204155356
61,0.002105541,0.002855097,8.21E-06,1.839732893,294,303.7,701.5,0.006273634,0.002855091,1.60863298,31.76246779,764,60.64667182,0.002411183,0.003281313,1.08E-05,0.003274127,4.140450846,-5.861112598,0.00210552,0.000720559,207.421875,56.25,2.50E-09,0.692967643,0.002093559,0.000991275,0.003192285,0.015480196,0.313465213,0.090394365
62,0.001562878,0.002230759,5.00E-06,1.341064055,289,300.3,681.4,0.00375528,0.002230755,1.173721626,26.61644826,751,-4269.673249,0.001788085,0.002572367,6.65E-06,0.002391375,6.611672067,-6.362404443,0.001562899,0.004623899,200,41.796875,1.70E-09,0.692980043,0.002126961,0.000748999,0.002904065,0.012567911,0.249098941,0.091905911
63,0.001403148,0.002088718,4.37E-06,1.237405497,295.7,307,700.6,0.00338936,0.002088716,1.087439737,25.90266267,775,30.0518237,0.001598715,0.002398106,5.77E-06,0.002038102,8.639028413,-6.483839537,0.00140313,-2.56E-06,198.828125,44.53125,1.35E-09,0.692990922,0.001805124,0.000416741,0.002887294,0.01219504,0.182674192,0.121718276
64,0.001224895,0.003718727,1.40E-05,1.35469229,390,404.6,685.2,0.014042658,0.003718727,1.227344878,27.02562257,1002,755.9026644,0.001353339,0.004008359,1.63E-05,0.001100697,67.58306,-5.338301013,0.001224903,0.000309008,162.109375,38.28125,5.23E-09,0.693061645,0.094347403,0.094341038,0.010466416,0.04232681,0.033892507,0.671395988
65,0.000710791,0.001173196,1.39E-06,0.761368504,363.7,376.2,813.4,0.001285509,0.001173196,0.658903471,21.5603663,927,5082.797739,0.000822212,0.001368283,1.89E-06,0.000960583,18.44129034,-7.396366094,0.00071079,0.000150997,185.546875,61.328125,3.43E-10,0.693029848,0.001078285,0.000128776,0.002143808,0.008757571,0.35263255,0.117374982
66,0.001060069,0.001777054,3.16E-06,1.20736162,388.8,399,873.2,0.003113723,0.001777053,1.043107753,28.19070241,984,891.2498555,0.001228242,0.002063206,4.27E-06,0.001488369,25.23915099,-6.516625212,0.001060064,-0.000294412,205.078125,59.765625,9.22E-10,0.692998863,0.002029638,0.001065175,0.002622323,0.015448,0.144970544,0.254426142
67,0.000766352,0.001341755,1.81E-06,0.670379159,293.3,304.1,661.5,0.001393293,0.001341754,0.590857221,18.38177979,771,5051.872968,0.000870622,0.001534087,2.36E-06,0.000978155,16.30469174,-7.361998642,0.000766354,0.000169262,166.015625,43.359375,5.90E-10,0.692915007,0.002073215,0.000696656,0.002710758,0.009876861,0.113300839,0.253274363
68,0.00097393,0.001645143,2.71E-06,1.05897529,374.5,385.4,848.6,0.00261576,0.001645142,0.938868444,26.24351459,964,3834.167248,0.001099663,0.001817731,3.31E-06,0.001318161,16.92126731,-6.878182919,0.000973929,0.000354964,170.3125,31.640625,7.32E-10,0.693078488,0.002073401,0.001289599,0.002562593,0.013140946,0.172613462,0.18603073
69,0.000950603,0.00235986,5.58E-06,0.848340607,317.1,327.1,622.8,0.004599218,0.00235986,0.783296724,20.34198468,824,956.400226,0.001030791,0.002492402,6.23E-06,0.000933874,39.74241841,-6.496976932,0.000950609,0.000354413,160.9375,14.84375,1.73E-09,0.693064349,0.018018082,0.016317267,0.005630902,0.021892556,0.051627522,0.392332614
70,0.00097525,0.001903321,3.70E-06,1.226411431,433.2,446.9,940.2,0.00410509,0.001903321,1.081552385,29.45483152,1109,-4975.193725,0.00110687,0.002138547,4.70E-06,0.001233714,35.17460176,-6.39682878,0.000975252,0.000342129,169.921875,33.203125,1.28E-09,0.693066373,0.005570619,0.005259352,0.003117601,0.017958007,0.092355235,0.265815563
71,0.000904508,0.001900579,3.68E-06,0.806477919,305,316,653.1,0.002872894,0.001900578,0.706420909,19.64658176,781,-770.0675165,0.001033946,0.002130131,4.61E-06,0.001029487,31.2140611,-6.76531688,0.000904506,0.000286787,172.265625,22.65625,1.20E-09,0.693075185,0.004852511,0.00444331,0.003838846,0.016568401,0.060110201,0.352964315
72,0.000817681,0.002220881,4.94E-06,1.132565693,476.7,495.4,933.7,0.006063596,0.002220881,1.0032941,28.43776501,1227,14452.89475,0.000923789,0.002468053,6.11E-06,0.000874656,83.87162768,-6.014339833,0.000817675,0.000275688,170.3125,53.90625,1.14E-09,0.693079715,0.023950637,0.024206966,0.005081023,0.028901323,0.053249082,0.596534341
73,0.00068442,0.001950948,3.82E-06,0.956752565,474.4,489.2,927.6,0.004600926,0.001950948,0.825410759,25.7943527,1206,-2494.149773,0.000793986,0.002287392,5.25E-06,0.00077217,91.82954537,-6.104364726,0.000684425,-3.47E-05,191.015625,43.359375,8.91E-10,0.693082648,0.016274491,0.01591302,0.004515066,0.024363095,0.037556324,0.429929226
74,0.000689369,0.00151275,2.67E-06,0.733601415,361.3,371.7,771.9,0.002447483,0.001512749,0.632151086,20.36424836,917,-1806.971019,0.000800875,0.001745005,3.55E-06,0.000872972,43.01652501,-7.188429497,0.000689369,-0.001787559,183.59375,39.453125,6.42E-10,0.693021314,0.006934547,0.005464122,0.003280391,0.015232095,0.171485022,0.350697148
75,0.000647256,0.001340191,2.05E-06,0.681828566,356,366.6,768.6,0.001847487,0.00134019,0.583177527,19.63765349,901,-495.849467,0.000757587,0.001591996,2.90E-06,0.000848169,39.80589531,-7.305560551,0.000647258,0.0007165,199.21875,50.78125,4.49E-10,0.69303606,0.005965975,0.00395921,0.002847995,0.012628755,0.191872246,0.267657646
